국가,국가코드(ISO 2자리 코드),수출품,수입품,무역년도,우리나라와의 무역 수출액(US달러(호주는 AU달러),우리나라와의 무역 수입액(US달러(호주는 AU달러)
가나,GH,"자동차, 합성수지, 기타섬유제품","건전지, 축전지, 동제품",2020,169000000,31000000
가나,GH,"자동차, 합성수지, 기타섬유제품","건전지, 축전지, 동제품",2019,191000000,43000000
가봉,GA,"승용차, 컴퓨터 등","원유, 금속광물 등",2019,10000000,320000000
가이아나,GY,"기계류, 부품 등",목재류 등,2019,13000000,115000000
감비아,GM,"TV, 어망, 자동차 등","넙치, 기타 냉동어류 등",2019,2600000,5590000
과테말라,GT,"섬유, 자동차 등","광물, 커피 등",2019,222000000,64000000
그레나다,GD,"자동차, 플라스틱, 축전지 등","전자부품, 코코넛 등",2019,2720000,14000
그리스,GR,"선박, 합성수지, 승용차, 석유화학연료","나프타, 금속광물, 연초류",2019,1640000000,530000000
기니,GN,"석유화학제품, 수공구 등","어류, 천연가스, 구리 등",2018,27000000,50000000
기니비사우,GW,"컨테이너, 화학제품 등",어류제품 등,2018,1000000,3000000
나미비아,NA,"황산, 어류, 표면활성제 등","아연광, 수산가공품 등",2019,6000000,61000000
나우루,NR,"부탄, 전기회로",인광석,2019,3160000,3900000
나이지리아,NG,"경유, 등유, 합성수지 등","원유, 천연가스 등",2019,76000000,60000000
남수단,SS,진단용 시약,,2018,345000,50000
남아프리카공화국,ZA,"자동차, 기계, 합성수지 등","백금, 합금철, 철광 등",2018,1022000000,2356000000
네덜란드,NL,"전기자동차, 제트유 및 등유, 합금철, 승용차","반도체 제조용 장비, 집적회로반도체, 반도체제조용장비부품, 낙농품",2019,4243000000,4196000000
네팔,NP,"농약, 의약품, 자동차, 종이류 등","섬유 및 의류, 기호식품 등",2019,52000000,3000000
노르웨이,NO,"선박, 전기자동차, 승용차, 무기류 등","기타어류, 선박용부품, 백금, 어육 등",2019,1802000000,1325000000
뉴질랜드,NZ,"석유제품, 자동차, 어류, 무선통신기기","목재류, 축산가공품, 육류 등",2018,1700000000,1400000000
니제르,NE,"차량부품, 의료용품 등","곡실류, 기계요소, 화학기계",2019,6880000,8400000
니카라과,NI,"자동차부품, 기계류, 전자제품 등","고철, 설탕, 커피, 피혁 등",2019,70000000,20000000
덴마크,DK,"승용차, 합성수지, 선박용엔진및그부품, 전기자동차 등","의약품, 가축육류, 기타섬유제품, 밸브 등",2019,448000000,893000000
도미니카공화국,DO,"자동차, 화물자동차, 석유화학제품 등","고철, 의료기기, 합금철, 폐건전지 등",2019,252000000,89000000
도미니카연방,DM,"선박, 자동차 등","기계류, 전자부품 등",2019,5000000,270000
독일,DE,"승용차, 축전지, 자동차부품 등","승용차, 의약품, 자동차부품 등",2019,8690000000,19940000000
동티모르,TL,"건설광산기계, 기호식품, 석유제품, 레일 및 철 구조물, 플라스틱 제품","석유, 커피",2019,3050000,380000
라오스,LA,"자동차, 자동차 부품, 레일 및 철 구조물, 건설광산기계 등","목재류, 계측제어분석기, 유선통신기기, 칼륨비료 등",2019,75000000,39000000
라이베리아,LR,"선박, 자동차 등","유연탄, 선박, 알루미늄 등",2019,1520000000,2000000
라이베리아,LR,"선박, 자동차 등","유연탄, 선박, 알루미늄 등",2018,1390000000,3580000
라트비아,LV,"타이어, 자동차부품, 합성수지, 금속절삭가공기계 등","제재목, 유연탄, 합판, 토탄 등",2019,70000000,129000000
러시아,RU,"승용차, 자동차부품, 합성수지","원유, 나프타, 천연가스",2019,7776000000,14550000000
레바논,LB,"자동차, 전기 · 전자제품","알루미늄, 동",2019,150000000,440000000
레소토,LS,"전기기기, 기계류, 섬유제품",,2017,392000,13000
루마니아,RO,"차량 및 부품, 합성수지, 펌프 등","차량부품, 의류, 파티클보드, 타이어 등",2019,560000000,450000000
룩셈부르크,LU,"플라스틱깔개및벽피복, 타이어코드, 센서, 기타플라스틱제품 등","동조가공품, 밸브, 기타산업기계, 부직포 등",2019,25000000,68000000
르완다,RW,"통신, 플라스틱 등","커피, 동 등",2019,13000000,3000000
르완다,RW,"통신, 플라스틱 등","커피, 동 등",2018,900000000,4300000000
리비아,LY,"자동차, 건설중장비","석유제품, 원유, 기초유분",2019,632000000,256000000
리투아니아,LT,"화학제품, 타이어, 철강","사료, 목재, 치즈, 합성섬유",2018,310000000,80000000
리히텐슈타인,LI,"차량부품, 전동기 등","차량부품, 압력측정기 등",2019,13670000,15750000
마다가스카르,MG,"경유, 승용차, 합성수지 등","니켈, 직물 등",2019,30000000,1200000000
마다가스카르,MG,"경유, 승용차, 합성수지 등","니켈, 직물 등",2018,28000000,82000000
마셜제도,MH,"선박, 기계류, 자동차","원자재, 고철",2018,3400000000,150000000
마이크로네시아연방,FM,"석유제품, 어망, 자동차",참치 등 어류,2019,6760000,1150000
말라위,MW,"화학, 기계, 의류 등","담배, 커피, 사탕수수 등",2019,7920000,19620000
말라위,MW,"화학, 기계, 의류 등","담배, 커피, 사탕수수 등",2018,1300000000,2700000000
말레이시아,MY,"메모리, 반도체, 경유 등","천연가스, 메모리, 중유 등",2019,8800000000,9300000000
말리,ML,"화학제품, 전기기기, 의료용품","전자집적회로, 버섯 등",2018,37000000,1000000
멕시코,MX,"평판디스플레이, 칼라TV, 자동차 및 부품 등","아연, 동, 무선통신기기·부품 등",2019,10900000000,6200000000
모나코,MC,"자동차 부품, 기타정밀화학제품, 계측기, 원동기 등","화장품, 기타난방및전열기기, 화학기계, 기타의료위생용품 등",2019,224000,1282000
모로코,MA,"자동차, 가전제품, 휴대전화, 정밀화학원료, 인조섬유 등","나프타, 동, 반도체, 의류, 인광석 등",2019,323000000,160000000
모리셔스,MU,"자동차, 건설중장비 등","폐건전지, 직물제의류, 어류 등",2019,52750000,5970000
모리셔스,MU,"자동차, 건설중장비 등","폐건전지, 직물제의류, 어류 등",2017,31000000,5000000
모리타니아,MR,"섬유제품, 자동차, 건설중장비 등","수산물, 수산가공품, 동괴 등",2019,10000000,39000000
모잠비크,MZ,"합성수지, 승용차, 의류 등","유연탄, 구리, 잎담배",2018,63500000,235800000
몬테네그로,ME,"합성수지, 공업용 기계",광물류,2019,3400000,240000
몰도바,MD,"승용차, 플라스틱제품, 전선","섬유, 가죽의류 및 가방, 주류",2018,12800000,14200000
